Date,name politician,nationality/Country,EU party,gender,parl gov id ,left/right,national party (z.B. CDU),Opposition/Regierung,mp (z.B. german mp),mep,entry national parliament (date),exit national parliament (date),entry european parliament (date),exit european parliament (date),government leader (Regierungschef),party leader EU (parliamentary leader),Spitzenkandidat 2019,wikidataid (bei Angela Merkel zB: Q567) ,comment
17/01/2019,Charles Michel ,Belgium,,male,915,Centre-right,MR,1.000,,,,27/10/2019,,,MR,,,,
17/01/2019,Didier Reynders,Belgium,,male,915,Centre-right,MR,1.000,,,,27/10/2019,,,,,,,
17/01/2019,Kris Peeters,Belgium,,male,723,Centre to centre-right,CD&V ,1.000,,,,27/10/2019,,,,,,,
17/01/2019,Alexander De Croo,Belgium,,male,1110,Centre to centre-right,Open VLD,1.000,,,01/10/2020,,,,Open VLD,,,,
17/01/2019,Denis Ducarme,Belgium,,male,915,Centre-right,MR,1.000,,,,01/10/2020,,,,,,,
17/01/2019,Sophie Wilmès,Belgium,,female,915,Centre-right,MR,1.000,,,01/10/2020,,,,,,,,
17/01/2019,Marie-Christine Marghem,Belgium,,female,915,Centre-right,MR,1.000,,,,01/10/2020,,,,,,,
17/01/2019,François Bellot,Belgium,,male,915,Centre-right,MR,1.000,,,,27/10/2019,,,,,,,
17/01/2019,Daniel Baquelaine,Belgium,,male,915,Centre-right,MR,1.000,,,,01/10/2020,,,,,,,
17/01/2019,Koen Geens,Belgium,,male,723,Centre to centre-right,CD&V ,1.000,,,,01/10/2020,,,,,,,
17/01/2019,Maggie De Block,Belgium,,female,1110,Centre to centre-right,Open VLD,1.000,,,,01/10/2020,,,,,,,
27/11/2020,Pierre-Yves Dermagne,Belgium,,male,1378,Centre-left,PS,0.125,,,01/10/2020,,,,,,,,
27/11/2020,George Gilkinet,Belgium,,male,161,Centre-left to left-wing,Ecolo,0.125,,,01/10/2020,,,,,,, ,
27/11/2020,Vincent Van Peteghem,Belgium,,male ,723,Centre to centre-right,CD&V ,1.000,,,01/10/2020,,,,,,,,
27/11/2020,Frank Vandenbroucke,Belgium,,male,1113,Centre-left,sp.a,0.125,,,01/10/2020,,,,,,,,
27/11/2020,Petra De Sutter,Belgium,,female,1594,Centre-left to left-wing,Groen,0.125,,,01/10/2020,,,,,,,,
27/11/2020,Vincent Van Quickenborne,Belgium,,male,1110,Centre to centre-right,Open VLD,1.000,,,01/10/2020,,,,,,,,
27/11/2020,David Clarinval,Belgium,,male,915,Centre-right,MR,1.000,,,01/10/2020,,,,,,,,
27/11/2020,Karine Lalieux,Belgium,,female,1378,Centre-left,PS,0.125,,,01/10/2020,,,,,,,,
27/11/2020,Ludivine Dedonder,Belgium,,female,1378,Centre-left,PS,0.125,,,01/10/2020,,,,,,,,
17/01/2019,Zakia Khattabi,Belgium,,female,161,Centre-left to left-wing,Ecolo,0.125,,,01/10/2020,,,,,Ecolo (22.03.2015 - 15.09.2019),,,
27/11/2020,Annelies Verinden,Belgium,,female,723,Centre to centre-right,CD&V ,1.000,,,01/10/2020,,,,,,,,
27/11/2020,Meryame Kitir,Belgium,,female,1113,Centre-left,sp.a,0.125,,,01/10/2020,,,,,,,,
27/11/2020,Tinne Van der Straeten,Belgium,,female,1594,Centre-left to left-wing,Groen,0.125,,,01/10/2020,,,,,,,,
27/11/2020,Thomas Dermine ,Belgium,,male,1378,Centre-left,PS,0.125,,,01/10/2020,,,,,,,,
27/11/2020,Mathieu Michel,Belgium,,male,915,Centre-right,MR,1.000,,,01/10/2020,,,,,,,,
27/11/2020,Sarah Schlitz,Belgium,,female,161,Centre-left to left-wing,Ecolo,0.125,,,01/10/2020,,,,,,,,
27/11/2020,Sammy Mahdi,Belgium,,male,723,Centre to centre-right,CD&V ,1.000,,,01/10/2020,,,,,,,,
27/11/2020,Eva De Bleeker,Belgium,,female,1110,Centre to centre-right,Open VLD,1.000,,,01/10/2020,,,,,,,,
17/01/2019,Wouter Beke ,Belgium,,male,723,Centre to centre-right,CD&V ,1.000,,,23/06/2010,08/02/2019,,,,CD&V,,,
17/01/2019,Benoît Lutgen,Belgium,,male,1192,Centre to centre-left,CDH,0.000,,,01/09/2011,26/01/2019,,,,CDH ,,,
17/01/2019,Jean-Marc Nollet,Belgium,,male,161,Centre-left to left-wing,Ecolo,0.125,,,09/11/2019,,,,,Ecolo,,,
17/01/2019,Meyrem Almaci,Belgium,,female,1594,Centre-left to left-wing,Groen,0.125,,,2014,,,,,Groen,,,
17/01/2019,Olivier Chastel,Belgium,,male,915,Centre-right,MR,1.000,,,13/10/2014,18/02/2014,,,,MR,,,
17/01/2019,Bart de Wever,Belgium,,male,501,Centre-right to right-wing,N-VA,0.000,,,2004,,,,,N-VA,,,
17/01/2019,Elio Di Rupo,Belgium,,male,1378,Centre-left,PS,0.125,,,2014,,,,,PS,,,
17/01/2019,John Crombez,Belgium,,male,1113,Centre-left,sp.a,0.125,,,13/06/2015,,,,,sp.a,,,
17/01/2019,Tom Van Grieken,Belgium,,male,993,Right-wing to far-right,VB,0.000,,,19/10/2014,,,,,VB ,,,
17/01/2019,Gwendolyn Rutten,Belgium,,female,1110,Centre to centre-right,Open VLD,1.000,,,08/12/2012,22/05/2020,,,,PP ,,,
17/01/2019,Mischaël Modrikamen,Belgium,,male,438,Right-wing to far-right,PP,0.000,,,Nov-09,,,,,PP ,,,
27/11/2020,Peter Mertens,Belgium,,male,256,Left-wing to far-left,PVDA,0.000,,,01/03/2008,,,,,PVDA ,,,
27/11/2020,Rajae Maouane,Belgium,,female,161,Centre-left to left-wing,Ecolo,0.125,,,15/09/2019,,,,,Ecolo ,,,
27/11/2020,Dany Neudt,Belgium,,male,1594,Centre-left to left-wing,Groen,0.125,,,Oct-19,,,,,Groen,,,
27/11/2020,	François De Smet,Belgium,,male,969,Centre to centre-right,DéFI,0.000,,,12 2019,,,,,DéFI,,,
27/11/2020,Georges-Louis Bouchez,Belgium,,male ,915,Centre-right,MR,1.000,,,29/11/2019,,,,,MR ,,,
27/11/2020,Egbert Lachaert,Belgium,,male,1110,Centre to centre-right,Open VLD,1.000,,,2020,,,,,Open VLD,,,
27/11/2020,Maxime Prévot,Belgium,,male,1192,Centre to centre-left,CDH,0.000,,,26/01/2019,,,,,CDH,,,
17/01/2019,Boyko Borisov,Bulgaria,,male,1541,Centre-right,GERB,1.000,,,2009,,,,GERB,GERB ,,,
17/01/2019,Tomislav Donchev,Bulgaria,,male,1541,Centre-right,GERB,1.000,,,07/11/2014,,,,,,,,
17/01/2019,Mariyana Nikolova,Bulgaria,,female,133,,Independent,,,,21/11/2018,,,,,,,,
17/01/2019,Krasimir Karakachanov,Bulgaria,,male,2212,Far-right,VMRO,1.000,,,04/05/2017,,,,,VP (28.07.2016),,,
17/01/2019,Ekaterina Zaharieva,Bulgaria,,female,133,,Independent,,,,04/05/2017,,,,,,,,
17/01/2019,Vladislav Goranov,Bulgaria,,male,1541,Centre-right,GERB,1.000,,,04/05/2017,24/07/2020,,,,,,,
17/01/2019,Mladen Marinov,Bulgaria,,male,133,,Independent,,,,20/09/2018,,,,,,,,
17/01/2019,Petya Avramova,Bulgaria,,female,1541,Centre-right,GERB,1.000,,,20/09/2018,,,,,,,,
17/01/2019,Biser Petkov,Bulgaria,,male,133,,Independent,,,,04/05/2017,29/11/2019,,,,,,,
17/01/2019,Tsetska Tsacheva,Bulgaria,,female,1541,Centre-right,GERB,1.000,,,04/05/2017,05/04/2019,,,,,,,
17/01/2019,Krasimir Valchev,Bulgaria,,male,133,,Independent,,,,04/05/2017,,,,,,,,
17/01/2019,Kiril Ananiev,Bulgaria,,male,133,,Independent,,,,10/11/2017,,,,,,,,
17/01/2019,Boil Banov,Bulgaria,,male,133,,Independent,,,,04/05/2017,,,,,,,,
17/01/2019,Neno Dimov,Bulgaria,,male,133,,Independent,,,,04/05/2017,15/01/2020,,,,,,,
17/01/2019,Rumen Porodzanov,Bulgaria,,male,133,,Independent,,,,04/05/2017,14/05/2019,,,,,,,
17/01/2019,Rossen Jeliazkov,Bulgaria,,male,133,,Independent,,,,20/09/2018,,,,,,,,
17/01/2019,Emil Karanikolov,Bulgaria,,male,133,,Independent,,,,04/05/2017,24/07/2020,,,,,,,
17/01/2019,Temenuzhka Petkova,Bulgaria,,female,133,,Independent,,,,07/11/2014,,,,,,,,
17/01/2019,Nikolina Angelkova,Bulgaria,,female,1541,Centre-right,GERB,1.000,,,07/11/2014,,,,,,,,
17/01/2019,Krasen Kralev,Bulgaria,,male,1541,Centre-right,GERB,1.000,,,07/11/2014,,,,,,,,
27/11/2020,Waleri Simeonow,Bulgaria,,male,2212,Far-right,VMRO,1.000,,,04/05/2017,16/11/2018,,,,,,,
27/11/2020,Marijana Nikolowa,Bulgaria,,female,133,,Independent,0.000,,,24/07/2020,,,,,,,,
27/11/2020,Danail Kirilow,Bulgaria,,male,1541,Centre-right,GERB,1.000,,,05/04/2019,,,,,,,,
27/11/2020,Nikolaj Petrow,Bulgaria,,male,133,,Independent,,,,04/05/2017,10/11/2017,,,,,,,
27/11/2020,Liljana Pawlowa,Bulgaria,,female,1541,Centre-right,GERB,1.000,,,04/05/2017,31/12/2018,,,,,,,
27/11/2020,Petja Awramowa,Bulgaria,,female,133,,Independent,,,,20/09/2018,,,,,,,,
27/11/2020,Deniza Satschewa,Bulgaria,,female,133,,Independent,,,,04/05/2017,31/12/2019,,,,,,,
27/11/2020,Desislawa Tanewa,Bulgaria,,female,1541,Centre-right,GERB,1.000,,,15/05/2019,,,,,,,,
27/11/2020,Kornelija Ninowa,Bulgaria,,female,982,Centre-left to left-wing,BSP,0.000,,,01/05/2016,,,,,BSP,,,
27/11/2020,Wolen Siderow,Bulgaria,,male,2177,Far-right,VP,1.000,,,,,,,,VP,,,
27/11/2020,Mustafa Karadayi,Bulgaria,,male,1286,Centre,DPS,0.000,,,24/04/2016,,,,,DPS ,,,
27/11/2020,Veselin Mareshki,Bulgaria,,male,2637,Right-wing to far-right,Wolja,0.000,,,15/07/2007,,,,,Wolja ,,,
17/01/2019,Andrej Plenković,Croatia,,male,276,Centre-right,HDZ,1.000,,,19/10/2016,,,,HDZ,HDZ,,,
17/01/2019,Marija Pejčinović Burić,Croatia,,female,276,Centre-right,HDZ,1.000,,,19/07/2017,19/07/2019,,,,,,,
17/01/2019,Tomislav Tolušić,Croatia,,male,276,Centre-right,HDZ,1.000,,,19/10/2016,19/07/2019,,,,,,,
17/01/2019,Damir Krstičević,Croatia,,male,276,Centre-right,HDZ,1.000,,,19/10/2016,14/05/2020,,,,,,,
17/01/2019,Predrag Štromar,Croatia,,male,1384,Centre to centre-left,HNS,0.790,,,09/06/2017,23/07/2020,,,,HNS,,,
17/01/2019,Lovro Kuščević,Croatia,,male,276,Centre-right,HDZ,1.000,,,09/06/2017,09/07/2019,,,,,,,
17/01/2019,Davor Božinović,Croatia,,male,276,Centre-right,HDZ,1.000,,,09/06/2017,,,,,,,,
17/01/2019,Dražen Bošnjaković,Croatia,,male,276,Centre-right,HDZ,1.000,,,09/06/2017,23/07/2017,,,,,,,
17/01/2019,Zdravko Marić,Croatia,,male,2197,,Independent,,,,19/10/2016,,,,,,,,
17/01/2019,Darko Horvat,Croatia,,male,276,Centre-right,HDZ,1.000,,,25/05/2018,,,,,,,,
17/01/2019,Gabrijela Žalac,Croatia,,female,276,Centre-right,HDZ,1.000,,,19/10/2016,19/07/2019,,,,,,,
17/01/2019,Tomislav Ćorić,Croatia,,male,276,Centre-right,HDZ,1.000,,,09/06/2017,,,,,,,,
17/01/2019,Oleg Butković,Croatia,,male,276,Centre-right,HDZ,1.000,,,19/10/2016,,,,,,,,
17/01/2019,Marko Pavić,Croatia,,male,276,Centre-right,HDZ,1.000,,,19/07/2019,23/07/2020,,,,,,,
17/01/2019,Milan Kujundžić,Croatia,,male,276,Centre-right,HDZ,1.000,,,19/10/2016,28/01/2020,,,,,,,
17/01/2019,Nada Murganić,Croatia,,female,276,Centre-right,HDZ,1.000,,,19/10/2016,19/07/2019,,,,,,,
17/01/2019,Tomo Medved,Croatia,,male,276,Centre-right,HDZ,1.000,,,19/10/2016,,,,,,,,
17/01/2019,Blaženka Divjak,Croatia,,female,2197,,Independent,,,,09/06/2017,23/07/2020,,,,,,,
17/01/2019,Nina Obuljen Koržinek,Croatia,,female,276,Centre-right,HDZ,1.000,,,19/10/2016,,,,,,,,
17/01/2019,Gari Cappelli,Croatia,,male,276,Centre-right,HDZ,1.000,,,19/10/2016,23/07/2020,,,,,,,
17/01/2019,Goran Marić,Croatia,,male,276,Centre-right,HDZ,1.000,,,15/11/2016,16/07/2019,,,,,,,
27/11/2020,Gordan Grlic Radman,Croatia,,male,276,Centre-right,HDZ,1.000,,,23/07/2020,,,,,,,,
27/11/2020,	Mario Banožić,Croatia,,male,276,Centre-right,HDZ,1.000,,,23/07/2020,,,,,,,,
27/11/2020,Ivan Malenica,Croatia,,male,276,Centre-right,HDZ,1.000,,,23/07/2020,,,,,,,,
27/11/2020,Josip Aladrović,Croatia,,male,276,Centre-right,HDZ,1.000,,,23/07/2020,,,,,,,,
27/11/2020,Nikolina Brnjac,Croatia,,male,276,Centre-right,HDZ,1.000,,,23/07/2020,,,,,,,,
27/11/2020,Marija Vuckovic,Croatia,,female,276,Centre-right,HDZ,1.000,,,23/07/2020,,,,,,,,
27/11/2020,Radovan Fuchs,Croatia,,male,276,Centre-right,HDZ,1.000,,,23/07/2020,,,,,,,,
27/11/2020,Nataša Tramišak,Croatia,,female,276,Centre-right,HDZ,1.000,,,23/07/2020,,,,,,,,
27/11/2020,Vili Beroš,Croatia,,male,276,Centre-right,HDZ,1.000,,,23/07/2020,,,,,,,,
17/01/2019,Anka Mrak Taritaš,Croatia,,female,1384,Centre to centre-left,HNS,0.790,,,,,,,,HNS,,,
17/01/2019,Krešo Beljak,Croatia,,male,1465,Centre to centre-left,HSS,0.000,,,2016,,,,,HSS,,,
17/01/2019,Boris Miletić,Croatia,,male,1627,Centre to centre-left,IDS,0.000,,,2014,,,,,IDS ,,,
17/01/2019,Ivan Vrdoljak,Croatia,,male,1384,Centre to centre-left,HNS,0.790,,,,,,,,HNS,,,
17/01/2019,Božo Petrov,Croatia,,male,2615,Centre-right,MOST,0.000,,,,,,,,MOST,,,
17/01/2019,Davor Bernardić,Croatia,,male,1493,Centre-left,SDP,0.000,,,,,,,,SDP,,,
27/11/2020,Peda Grbin,Croatia,,male,1493,Centre-left,SDP,0.000,,,03/10/1979,,,,,SDP ,,,
27/11/2020,Silvano Hrelja,Croatia,,male,2134,Centre-left,HSU,0.000,,,2003,,,,,HSU,,,
27/11/2020,Ivan Vilibor Sinčić,Croatia,,male,2612,Syncretic,ZIVI ZID,0.000,,,,,,,,ZIVI ZID,,,
17/01/2019,Nicos Anastasiades,Cyprus,,male,1575,Centre-right to right-wing,DISY,1.000,,,28/02/2013,,,,DISY,,,,
17/01/2019,Nikos Christodoulides,Cyprus,,male,534,,Independent,,,,01/03/2018,,,,,,,,
17/01/2019,Harris Georgiades,Cyprus,,male,1575,Centre-right to right-wing,DISY,1.000,,,03/04/2013,03/12/2019,,,,,,,
17/01/2019,Constantinos Petrides,Cyprus,,male,1575,Centre-right to right-wing,DISY,1.000,,,03/12/2019,,,,,,,,
17/01/2019,Savvas Angelides,Cyprus,,male,1575,Centre-right to right-wing,DISY,1.000,,,01/03/2018,29/06/2020,,,,,,,
17/01/2019,Kostas Champiaouris,Cyprus,,male,1575,Centre-right to right-wing,DISY,1.000,,,09/07/2019,03/12/2019,,,,,,,
17/01/2019,Vassiliki Anastassiadou,Cyprus,,male,534,,Independent,,,,01/03/2018,03/12/2019,,,,,,,
17/01/2019,Yiorgos Lakkotrypis,Cyprus,,male,534,,Independent,,,,02/02/2019,01/01/2020,,,,,,,
17/01/2019,Costas Kadis,Cyprus,,male,534,,Independent,,,,01/03/2018,,,,,,,,
17/01/2019,Zeta Emilianidou,Cyprus,,female,534,,Independent,,,,14/04/2014,,,,,,,,
17/01/2019,Ionas Nicolaou,Cyprus,,male,1575,Centre-right to right-wing,DISY,1.000,,,01/03/2013,31/05/2019,,,,,,,
17/01/2019,Constantinos Ioannou,Cyprus,,male,534,,Independent,,,,01/03/2018,,,,,,,,
17/01/2019,Natasa Pilides,Cyprus,,female,1575,Centre-right to right-wing,DISY,1.000,,,10/07/2020,,,,,,,,
17/01/2019,Prodromos Prodromou,Cyprus,,male,1575,Centre-right to right-wing,DISY,1.000,,,03/12/2019,,,,,,,,
17/01/2019,Vasilis Palmas,Cyprus,,male,1575,Centre-right to right-wing,DISY,1.000,,,08/05/2017,,,,,,,,
17/01/2019,Theodosis A. Tsiolas,Cyprus,,male,1575,Centre-right to right-wing,DISY,1.000,,,07/03/2013,,,,,,,,
17/01/2019,Klelia Vasiliou,Cyprus,,female,534,,Independent,,,,01/03/2018,,,,,,,,
17/01/2019,Averof Neofytou,Cyprus,,male,1575,Centre-right to right-wing,DISY,1.000,,,28/02/2013,,,,,DISY,,,
17/01/2019,Andros Kyprianou,Cyprus,,male,572,Left-wing,AKEL,0.000,,,21/01/2009,,,,,AKEL ,,,
17/01/2019,Nikolas Papadopoulos,Cyprus,,male,851,Centre,DIKO,0.000,,,01/12/2006,,,,,DIKO ,,,
17/01/2019,Marinos Sizopoulos,Cyprus,,male,945,Centre-left,EDEK,0.000,,,01/03/2015,,,,,EDEK,,,
17/01/2019,Giorgos Lillikas,Cyprus,,male,2341,Centre to centre-right,SYPOL,0.000,,,28/04/2013,,,,,SYPOL ,,,
17/01/2019,Eleni Theocharous,Cyprus,,female,2626,Right-wing,KA,0.000,,,15/01/2016,,,,,KINALL ,,,
17/01/2019,Charalambos Theopemtou,Cyprus,,male,1621,Centre-left,GREEN,0.000,,,26/07/2020,,,,,GREEN,,,
17/01/2019,Christos Christou,Cyprus,,male,1768,Far-right,ELAM,0.000,,,2008,,,,,ELAM,,,
27/11/2020,Georgis Perdikis,Cyprus,,male,1621,Centre-left,GREEN,0.000,,,13/07/2013,26/07/2020,,,,GREEN ,,,
27/11/2020,Boris Milošević,Cyprus,,male,2133,Centre centre-left,SDSS,0.250,,,23/07/2020,,,,,,,,
17/01/2019,Andrej Babiš,Czech Republic,,male,2263,Centre to centre-right,ANO,1.000,,,06/07/2018,,,,ANO,ANO ,,,
17/01/2019,Jan Hamáček,Czech Republic,,male,789,Centre-left,ČSSD,1.000,,,27/06/2018,,,,,ČSSD (18.02.2018),,,
17/01/2019,Richard Brabec,Czech Republic,,male,2263,Centre to centre-right,ANO,1.000,,,27/06/2018,30/04/2019,,,,,,,
17/01/2019,Tomáš Petříček,Czech Republic,,male,789,Centre-left,ČSSD,1.000,,,16/10/2018,,,,,,,,
17/01/2019,Lubomír Metnar,Czech Republic,,male,1567,,Independent,,,,27/06/2018,,,,,,,,
17/01/2019,Alena Schillerová,Czech Republic,,female,1567,,Independent,,,,30/04/2019,,,,,,,,
17/01/2019,Adam Vojtěch,Czech Republic,,ma,1567,,Independent,,,,27/06/2018,,,,,,,,
17/01/2019,Jana Maláčová,Czech Republic,,female,789,Centre-left,ČSSD,1.000,,,30/07/2018,,,,,,,,
17/01/2019,Marta Nováková,Czech Republic,,female,2263,Centre to centre-right,ANO,1.000,,,27/06/2018,30/04/2019,,,,,,,
17/01/2019,Jan Kněžínek,Czech Republic,,male,1567,,Independent,,,,10/07/2018,30/04/2019,,,,,,,
17/01/2019,Robert Plaga,Czech Republic,,male,1567,,Independent,,,,27/06/2018,,,,,,,,
17/01/2019,Dan Ťok,Czech Republic,,male,1567,,Independent,,,,27/06/2018,30/04/2019,,,,,,,
17/01/2019,Klára Dostálová,Czech Republic,,female,1567,,Independent,,,,27/06/2018,,,,,,,,
17/01/2019,Miroslav Toman,Czech Republic,,male,1567,,Independent,,,,27/06/2018,,,,,,,,
17/01/2019,Antonín Staněk,Czech Republic,,male,789,Centre-left,ČSSD,1.000,,,27/06/2018,31/07/2019,,,,,,,
27/11/2020,Karel Havlíček,Czech Republic,,male,1567,,Independent,,,,30/04/2019,,,,,,,,
27/11/2020,Roman Pyrmula,Czech Republic,,male,1567,,Independent,,,,21/09/2020,,,,,,,,
27/11/2020,Petr Krčál,Czech Republic,,male,789,Centre-left,ČSSD,1.000,,,27/06/2018,18/07/2018,,,,,,,
27/11/2020,Taťána Malá,Czech Republic,,female,2263,Centre to centre-right,ANO,1.000,,,27/06/2018,10/07/2018,,,,,,,
27/11/2020,Marie Benešová,Czech Republic,,female,1567,,Independent,,,,30/04/2019,,,,,,,,
27/11/2020,Vladimir Kremlik,Czech Republic,,male,2263,Centre to centre-right,ANO,1.000,,,30/04/2019,20/01/2020,,,,,,,
27/11/2020,Lubomir Zaorálek,Czech Republic,,male,789,Centre-left,ČSSD,1.000,,,27/08/2019,,,,,,,,
17/01/2019,Jan Bartošek,Czech Republic,,male,1245,Centre to centre-right,KDU-ČSL,0.000,,,16/12/2011,,,,,,,,
17/01/2019,Zdeňka Hamousová,Czech Republic,,female,2263,Centre to centre-right,ANO,1.000,,,29/10/2014,18/10/2020,,,,ANO,,,
17/01/2019,Jaroslav Faltýnek,Czech Republic,,male,2263,Centre to centre-right,ANO,1.000,,,28/02/2015, 23.10.2020,,,,ANO  ,,,
17/01/2019,Petr Vícha,Czech Republic,,male,789,Centre-left,ČSSD,1.000,,,27/03/2005,21/10/2009,,,,ČSSD,,,
17/01/2019,Jan Chvojka,Czech Republic,,male,789,Centre-left,ČSSD,1.000,,,27/10/2017,,,,,ČSSD,,,
17/01/2019,Pavel Bělobrádek,Czech Republic,,male,1245,Centre to centre-right,KDU-ČSL,0.000,,,20/11/2010,29/03/2019,,,,KDU-ČSL,,,
17/01/2019,Petr Fiala,Czech Republic,,male,829,Centre-right to right-wing,ODS,0.000,,,18/01/2014,,,,,ODS ,,,
17/01/2019,Miloš Vystrčil,Czech Republic,,male,829,Centre-right to right-wing,ODS,0.000,,,18/01/2014,,,,,ODS,,,
17/01/2019,Zbyněk Stanjura,Czech Republic,,male,829,Centre-right to right-wing,ODS,0.000,,,29/01/2020,,,,,ODS,,,
17/01/2019,Jiří Pospíšil,Czech Republic,,male,2,Centre-right,TOP09,0.000,,,26/11/2017, 24.11. 2019,,,,TOP09,,,
17/01/2019,Miroslav Kalousek,Czech Republic,,male,2,Centre-right,TOP09,0.000,,,28/11/2009,29/11/2015,,,,TOP09,,,
17/01/2019,Vojtěch Filip,Czech Republic,,male,1173,Left-wing to far-left,KSCM,0.000,,,21/04/2018,,,,,KSCM ,,,
17/01/2019,Petr Šilar,Czech Republic,,male,1245,Centre to centre-right,KDU-ČSL,0.000,,,01/11/2012,15/10/2020,,,,KDU-ČSL,,,
17/01/2019,Pavel Kováčik,Czech Republic,,male,1173,Left-wing to far-left,KSCM,0.000,,,27/10/2017,,,,,KSCM,,,
27/11/2020, Ivan Bartoš,Czech Republic,,male,2261,Centre to centre-left,Piráti,0.000,,,2016,,,,,Piráti,,,
27/11/2020,Tomio Okamura,Czech Republic,,male,2654,Right-wing to far-right,SPD,0.000,,,2015,,,,,SPD,,,
27/11/2020,Markéta Pekarová Adamová,Czech Republic,,female,2,Centre-right,TOP09,0.000,,,24/11/2019,,,,,TOP09 ,,,
17/01/2019,Lars Løkke Rasmussen,Denmark,,male,1605,Centre-right,Venstre,0.250,,,28/11/2016,27/06/2019,,,,Venstre (PM 28.11.2016- 27.06.2019 and Party leader 17.05.2009 - 31.08.2019 ),,,
17/01/2019,Anders Samuelsen ,Denmark,,male,376,Centre-right to right-wing,LA,0.250,,,28/11/2016,27/06/2019,,,,LA (05.01.2009 - 09.06.2019),,,
17/01/2019,Søren Pape Poulsen,Denmark,,male,590,Centre-right,KF,0.250,,,28/11/2016,27/06/2019,,,,KF (28.09.2014),,,
17/01/2019,Kristian Jensen ,Denmark,,male,1605,Centre-right,Venstre,0.250,,,28/11/2016,27/06/2019,,,,,,,
17/01/2019,Claus Hjort Frederiksen,Denmark,,male,1605,Centre-right,Venstre,0.250,,,28/11/2016,27/06/2019,,,,,,,
17/01/2019,Simon Emil Ammitzbøll-Bille ,Denmark,,male,376,Centre-right to right-wing,LA,0.250,,,28/11/2016,27/06/2019,,,,,,,
17/01/2019,Ulla Tørnæs ,Denmark,,female,1605,Centre-right,Venstre,0.250,,,28/11/2016,27/06/2019,,,,,,,
17/01/2019,Troels Lund Poulsen ,Denmark,,male,1605,Centre-right,Venstre,0.250,,,28/11/2016,27/06/2019,,,,,,,
17/01/2019,Eva Kjer Hansen ,Denmark,,female,1605,Centre-right,Venstre,0.250,,,02/05/2018,27/06/2019,,,,,,,
17/01/2019,Inger Støjberg,Denmark,,female,1605,Centre-right,Venstre,0.250,,,28/11/2016,27/06/2019,,,,,,,
17/01/2019,Lars Christian Lilleholt ,Denmark,,male,1605,Centre-right,Venstre,0.250,,,28/11/2016,27/06/2019,,,,,,,
17/01/2019,Ellen Trane Nørby ,Denmark,,female,1605,Centre-right,Venstre,0.250,,,28/11/2016,27/06/2019,,,,,,,
17/01/2019,Sophie Løhde ,Denmark,,female,1605,Centre-right,Venstre,0.250,,,28/11/2016,27/06/2019,,,,,,,
17/01/2019,Karsten Lauritzen ,Denmark,,male,1605,Centre-right,Venstre,0.250,,,28/11/2016,27/06/2019,,,,,,,
17/01/2019,Mai Mercado ,Denmark,,female,590,Centre-right,KF,0.250,,,28/11/2016,27/06/2019,,,,,,,
17/01/2019,Merete Riisager ,Denmark,,female,376,Centre-right to right-wing,LA,0.250,,,28/11/2016,27/06/2019,,,,,,,
17/01/2019,Mette Bock ,Denmark,,female,376,Centre-right to right-wing,LA,0.250,,,28/11/2016,27/06/2019,,,,,,,
17/01/2019,Ole Birk Olesen ,Denmark,,male,376,Centre-right to right-wing,LA,0.250,,,28/11/2016,27/06/2019,,,,,,,
17/01/2019,Thyra Frank,Denmark,,female,376,Centre-right to right-wing,LA,0.250,,,28/11/2016,27/06/2019,,,,,,,
17/01/2019,Jakob Ellemann-Jensen ,Denmark,,male,1605,Centre-right,Venstre,0.250,,,28/11/2016,27/06/2019,,,,Venstre (21.09.2011),,,
17/01/2019,Tommy Ahlers ,Denmark,,male,1128,,Independent,,,,02/05/2018,27/06/2019,,,,,,,
17/01/2019,Rasmus Jarlov ,Denmark,,male,590,Centre-right,KF,0.250,,,21/06/2018,27/06/2019,,,,,,,
17/01/2019,Mette Frederiksen,Denmark,,female,1629,Centre-left,SD,0.790,,,27/06/2019,,,,,SD (28.06.2015),,,
27/11/2020,Nicolai Wammen,Denmark,,male,1629,Centre-left,SD,0.790,,,27/06/2019,,,,,,,,
27/11/2020,Jeppe Kofod,Denmark,,male,1629,Centre-left,SD,0.790,,,27/06/2019,,,,,,,,
27/11/2020,Nick Hækkerup,Denmark,,male,1629,Centre-left,SD,0.790,,,27/06/2019,,,,,,,,
27/11/2020,Astrid Krag,Denmark,,female,1629,Centre-left,SD,0.790,,,27/06/2019,,,,,,,,
27/11/2020,Morten Bødskov,Denmark,,male,1629,Centre-left,SD,0.790,,,27/06/2019,,,,,,,,
27/11/2020,Dan Jørgensen,Denmark,,male,1629,Centre-left,SD,0.790,,,27/06/2019,,,,,,,,
27/11/2020,Mogens Jensen,Denmark,,male,1629,Centre-left,SD,0.790,,,27/06/2019,,,,,,,,
27/11/2020,Magnus Heunicke,Denmark,,male,1629,Centre-left,SD,0.790,,,27/06/2019,,,,,,,,
27/11/2020,Benny Engelbrecht,Denmark,,male,1629,Centre-left,SD,0.790,,,27/06/2019,,,,,,,,
27/11/2020,Rasmus Prehn,Denmark,,male,1629,Centre-left,SD,0.790,,,27/06/2019,,,,,,,,
27/11/2020,Pernille Rosenkrantz-Theil,Denmark,,female,1629,Centre-left,SD,0.790,,,27/06/2019,,,,,,,,
