,Name,Born,Party,Bundesland,Gender,Age
1100,Pia Zimmermann ,1956, DIE LINKE , Niedersachsen ,female,64
1101,Hartmut Ebbing ,1956, FDP , Berlin ,male,64
1102,Reginald Hanke ,1956, FDP , Thüringen ,male,64
1103,Susanne Wetterich ,1956, CDU , Baden-Württemberg ,female,64
1104,Heiko Hessenkemper ,1956, AFD , Hessen ,male,64
1105,Ulla Ihnen ,1956, FDP , Niedersachsen ,female,64
1106,Joachim Kuhs ,1956, AFD , Baden-Württemberg ,male,64
1107,Christian Jung ,1956,  ,  ,male,64
1108,Holger Krestel ,1955, FDP , Berlin ,male,65
1109,Gerold Otten ,1955, AFD , Bayern ,male,65
1110,Anne Cyron ,1955, AFD , Bayern ,female,65
1111,Manuel Heide ,1955, CDU , Berlin ,male,65
1112,Brigitte Freihold ,1955, DIE LINKE , Rheinland-Pfalz ,female,65
1113,Bernd Riexinger ,1955, DIE LINKE , Baden-Württemberg ,male,65
1114,Dietlind Tiemann ,1955, CDU , Sachsen ,female,65
1115,Bernhard Loos ,1955, andere , Bayern ,male,65
1116,Friedrich Merz ,1955, CDU , Bayern ,male,65
1117,Barbara Thiel ,1955,  , Niedersachsen ,,65
1119,Dagmar König ,1955, CDU , Berlin ,female,65
1120,Thomas de Maiziere ,1954, CDU , Niedersachsen ,male,66
1121,Eckard Graage ,1954, CDU , Hamburg ,male,66
1122,Arfst Wagner ,1954, GRÜNE , Schleswig-Holstein ,male,66
1123,Heiko Becker ,1954,  , Hessen ,male,66
1124,Sylvia Lehmann ,1954, SPD , Nordrhein-Westfalen ,female,66
1125,Roman Reusch ,1954, AFD , Hessen ,male,66
1126,merkel ,1954, CDU , Bayern ,female,66
1127,Roland Hartwig ,1954, AFD , Nordrhein-Westfalen ,male,66
1128,Martin Renner ,1954,  , Nordrhein-Westfalen ,male,66
1129,Monika Barz ,1953,  , Baden-Württemberg ,female,67
1130,Bernhard Zimniok ,1953, AFD ,  ,male,67
1131,Charlotte Schneidewind-Hartnagel ,1953, GRÜNE , Baden-Württemberg ,female,67
1132,Heiko Wildberg ,1952, AFD , Rheinland-Pfalz ,male,68
1133,Philipp Graf Lerchenfeld ,1952, andere , Bayern ,male,68
1134,Anna Neuhof ,1952, GRÜNE , Rheinland-Pfalz ,female,68
1135,Michael von Abercron ,1952, CDU , Schleswig-Holstein ,male,68
1136,Elisabeth Motschmann ,1952, CDU , Schleswig-Holstein ,female,68
1137,Frank Magnitz ,1952, AFD , Berlin ,male,68
1138,Hans-Jürgen Irmer ,1952, CDU , Niedersachsen ,male,68
1139,Ulrich Lupart ,1951,  AFD , Sachsen ,male,69
1140,Karlheinz Busen ,1951, FDP , Nordrhein-Westfalen ,male,69
1141,Rüdiger Lucassen ,1951, AFD , Bayern ,male,69
1142,Oskar Burkert ,1951, CDU , Nordrhein-Westfalen ,male,69
1143,Eberhard Brecht ,1950, SPD , Sachsen ,male,70
1144,Claudia Winterstein ,1950, FDP , Niedersachsen ,female,70
1145,Manfred Todtenhausen ,1950, FDP , Nordrhein-Westfalen ,male,70
1147,sellering ,1949, SPD , Mecklenburg-Vorpommern ,male,71
1148,Thomas Sattelberger ,1949, FDP , Bayern ,male,71
1149,Bernd Schulte ,1949, CDU , Nordrhein-Westfalen ,male,71
1150,Eveline Neumann ,1949, SPD , Berlin ,female,71
1151,Giesela Brandes-Steggewentz ,1949, SPD , Niedersachsen ,female,71
1152,seehofer ,1949, andere , Bayern ,male,71
1153,Martin Hohmann ,1948, AFD , Hessen ,male,72
1154,Bruno Hollnagel ,1948,  , Sachsen ,male,72
1155,Franz Pesch ,1947,  ,  ,male,73
1157,Markus Dürr ,1947, andere ,  ,male,73
1158,Günter Schmitt ,1946,  ,  ,male,74
1159,Paul Viktor Podolay ,1946, AFD , Bayern ,male,74
1160,Manfred Seel ,1946,  , Hessen ,male,74
1161,Gunter Runkel ,1946,  , Niedersachsen ,male,74
1163,Franziska Gminder ,1945, AFD , Baden-Württemberg ,female,75
1164,Rolf Kahnt ,1945, AFD , Hessen ,male,75
1165,Detlev Spangenberg ,1944, AFD , Sachsen ,male,76
1166,Lothar Maier ,1944, SPD , Baden-Württemberg ,male,76
1167,Jens Zeller ,1944,  , Baden-Württemberg ,male,76
1168,Christian Wirth ,1944,  , Baden-Württemberg ,male,76
1169,ukraine ,1944,  , Baden-Württemberg ,,76
1170,Frank Albrecht ,1943,  , Hessen ,male,77
1171,Manfred Dietrich ,1943,  , Brandenburg ,male,77
1172,Axel Gehrke ,1942, AFD , Schleswig-Holstein ,male,78
1173,Klaus Stöber ,1942,  , Sachsen ,male,78
1174,Peter Lorkowski ,1942, AFD , Schleswig-Holstein ,male,78
1175,Laura Halding-Hoppenheit ,1942,  , Baden-Württemberg ,female,78
1176,gauland ,1941, AFD , Hessen ,male,79
1177,russland ,1941,  , Bayern ,,79
1178,Christa Thoben ,1941, CDU , Nordrhein-Westfalen ,female,79
1179,Wilhelm von Gottberg ,1940, CDU , Niedersachsen ,male,80
1180,Michael Limburg ,1940,  , Berlin ,male,80
1181,Jürgen Krämer ,1939,  , Berlin ,male,81
1182,Stefan Wild ,1937,  , Berlin ,male,83
1183,John Haberle ,1933,  ,  ,,87
1185,afd ,1933,  , Niedersachsen ,,87
1186,Christian Bartelt ,1931, CDU , Hessen ,male,89
1187,Siegfried Nowak ,1930,  , Berlin ,male,90
1188,freihandel ,1929,  ,  ,,91
1189,verfassungsgericht ,1919,  , Bayern ,,101
1190,verfassungsrichter ,1919,  , Bayern ,,101
1191,Herbert Moll ,1916,  , Bayern ,male,104
1192,Erich Albrecht ,1914,  , Berlin ,male,106
1193,Ella Müller ,1912, SPD , Bremen ,female,108
1198,Bodo Suhren,1983,AFD,Niedersachsen,male,37
1199,Julian Flak,1982,AFD,Hamburg,male,38
1200,Christina Kampmann,1980,SPD,Nordrhein-Westfalen,female,40
1202,Alice Weidel,1979,AFD,Baden-Württemberg,female,41
1204,Christian Lindner,1979,FDP,Nordrhein-Westfalen,male,41
1205,Philipp Mißfelder,1979,CDU,Nordrhein-Westfalen,male,41
1207,Anja Siegesmund,1977,GRÜNE,Thüringen,female,43
1208,Christian Dürr,1977,FDP,Niedersachsen,male,43
1209,Ramona Pop,1977,GRÜNE,Berlin,female,43
1210,Marco Buschmann,1977,FDP,Nordrhein-Westfalen,male,43
1211,Katharina Fegebank,1977,GRÜNE,Hamburg,female,43
1213,Anke Rehlinger,1976,SPD,Saarland,female,44
1215,Sabine Bätzing-Lichtenthäler,1975,SPD,Rheinland-Pfalz,female,45
1216,Sevim Dagdelen,1975,DIE LINKE,Nordrhein-Westfalen,female,45
1217,Diana Golze,1975,DIE LINKE,Brandenburg,female,45
1218,Frauke Petry,1975,Parteilos,Sachsen,female,45
1220,Birgit Hesse,1975,SPD,Mecklenburg-Vorpommern,male,45
1222,André Poggenburg,1975,Parteilos,Sachsen-Anhalt,male,45
1223,Katja Suding,1975,FDP,Hamburg,female,45
1224,Manuela Schwesig,1974,SPD,Mecklenburg-Vorpommern,female,46
1225,Martin Dulig,1974,SPD,Sachsen,male,46
1226,Klaus Lederer,1974,DIE LINKE,Berlin,male,46
1228,Marcus Pretzell,1973,Parteilos,Nordrhein-Westfalen,male,47
1231,Katherina Reiche,1973,CDU,Brandenburg,female,47
1232,Björn Höcke,1972,AFD,Thüringen,male,48
1234,Nicole Hoffmeister-Kraut,1972,CDU,Baden-Württemberg,female,48
1235,Tarek Al-Wazir,1971,GRÜNE,Hessen,male,49
1236,Beatrix von Storch,1971,AFD,Berlin,female,49
1237,Volker Wissing,1970,FDP,Rheinland-Pfalz,male,50
1238,Nicola Beer,1970,FDP,Hessen,female,50
1241,Heiko Schmelzle,1970,CDU,Niedersachsen,male,50
1242,Holger Zastrow,1969,FDP,Sachsen,male,51
1243,Robert Habeck,1969,GRÜNE,Schleswig-Holstein,male,51
1244,Sebastian Edathy,1969,SPD,Niedersachsen,male,51
1245,Peter Stein,1968,CDU,Mecklenburg-Vorpommern,male,52
1247,Dilek Kolat,1967,SPD,Berlin,female,53
1248,Michael Theurer,1967,FDP,Baden-Württemberg,male,53
1250,Markus Söder,1967,CSU,Bayern,male,53
1251,Aydan Özoguz,1967,SPD,Hamburg,female,53
1252,Dirk Becker,1966,SPD,Nordrhein-Westfalen,male,54
1255,Reinhold Jost,1966,SPD,Saarland,male,54
1256,Frauke Heiligenstadt,1966,SPD,Niedersachsen,female,54
1257,Heiko Maas,1966,SPD,Saarland,male,54
1258,Peter Tschentscher,1966,SPD,Hamburg,male,54
1259,Alexander Graf Lambsdorff,1966,FDP,Nordrhein-Westfalen,male,54
1260,Ulrike Hiller,1965,SPD,Bremen,female,55
1263,Doris Ahnen,1964,SPD,Rheinland-Pfalz,female,56
1264,Dirk Driesang,1964,AFD,Bayern,male,56
1265,Ilse Aigner,1964,CSU,Bayern,female,56
1266,Michael Müller,1964,SPD,Berlin,male,56
1268,Fritz Jaeckel,1963,CDU,Sachsen,male,57
1269,Torsten Albig,1963,SPD,Schleswig-Holstein,male,57
1270,Armin Willingmann,1963,SPD,Sachsen-Anhalt,male,57
1272,Steffen Kampeter,1963,CDU,Nordrhein-Westfalen,male,57
1273,Edith Sitzmann,1963,GRÜNE,Baden-Württemberg,female,57
1274,Stefan Wenzel,1962,GRÜNE,Niedersachsen,male,58
1276,Christian Görke,1962,DIE LINKE,Brandenburg,male,58
1277,Annegret Kramp-Karrenbauer,1962,CDU,Saarland,female,58
1278,Petra Hinz,1962,SPD,Nordrhein-Westfalen,female,58
1281,Johannes Remmel,1962,GRÜNE,Nordrhein-Westfalen,male,58
1282,Rainer Schmeltzer,1961,SPD,Nordrhein-Westfalen,male,59
1283,Jörg Meuthen,1961,AFD,Baden-Württemberg,male,59
1284,Ralf Jäger,1961,SPD,Nordrhein-Westfalen,male,59
1285,Stefan Studt,1961,SPD,Schleswig-Holstein,male,59
1288,Lucia Puttrich,1961,CDU,Hessen,female,59
1289,Reinhard Grindel,1961,CDU,Niedersachsen,male,59
1290,Agnes Alpers,1961,DIE LINKE,Berlin,female,59
1292,Hannelore Kraft,1961,SPD,Nordrhein-Westfalen,female,59
1293,Hans-Peter Bartels,1961,SPD,Schleswig-Holstein,male,59
1294,Guido Wolf,1961,CDU,Baden-Württemberg,male,59
1295,Malu Dreyer,1961,SPD,Rheinland-Pfalz,female,59
1296,Dietmar Woidke,1961,SPD,Brandenburg,male,59
1297,Boris Pistorius,1960,SPD,Niedersachsen,male,60
1300,Thomas Strobl,1960,CDU,Baden-Württemberg,male,60
1302,Priska Hinz,1959,GRÜNE,Hessen,female,61
1303,Carsten Sieling,1959,SPD,Bremen,male,61
1305,Stanislaw Tillich,1959,CDU,Sachsen,male,61
1306,Ronald Pofalla,1959,CDU,Nordrhein-Westfalen,male,61
1309,Stephan Weil,1958,SPD,Niedersachsen,male,62
1310,Marie-Agnes Strack-Zimmermann,1958,FDP,Nordrhein-Westfalen,female,62
1311,Heike Taubert,1958,SPD,Thüringen,female,62
1313,Olaf Scholz,1958,SPD,Hamburg,male,62
1314,Marcel Huber,1958,CSU,Bayern,male,62
1315,Sabine Sütterlin-Waack,1958,CDU,Schleswig-Holstein,female,62
1316,Karoline Linnert,1958,GRÜNE,Bremen,female,62
1317,Andreas Schockenhoff,1957,CDU,Baden-Württemberg,male,63
1318,Armin Paul Hampel,1957,AFD,Niedersachsen,male,63
1320,Jürgen Lennartz,1957,CDU,Saarland,male,63
1321,Günter Baaske,1957,SPD,Brandenburg,male,63
1326,Claudia Dalbert,1956,GRÜNE,Sachsen-Anhalt,female,64
1327,Frank-Walter Steinmeier,1956,SPD,Brandenburg,male,64
1328,Stefan Grüttner,1956,CDU,Hessen,male,64
1329,Joachim Herrmann,1956,CSU,Bayern,male,64
1332,Bodo Ramelow,1956,DIE LINKE,Thüringen,male,64
1333,Martin Schulz,1955,SPD,Nordrhein-Westfalen,male,65
1334,Annette Schavan,1955,CDU,Baden-Württemberg,female,65
1336,Wolfgang Tiefensee,1955,SPD,Thüringen,male,65
1337,Ulrike Höfken,1955,GRÜNE,Rheinland-Pfalz,female,65
1338,Reiner Haseloff,1954,CDU,Sachsen-Anhalt,male,66
1339,Lorenz Caffier,1954,CDU,Mecklenburg-Vorpommern,male,66
1340,Cornelia Rundt,1953,SPD,Niedersachsen,female,67
1342,Wolfgang Kubicki,1952,FDP,Schleswig-Holstein,male,68
1344,Klaus-G. Fohrmann,1952,AFD,Hamburg,male,68
1345,Antje Niewisch-Lennartz,1952,GRÜNE,Niedersachsen,female,68
1346,Norbert Walter-Borjans,1952,SPD,Nordrhein-Westfalen,male,68
1347,Winfried Hermann,1952,GRÜNE,Baden-Württemberg,male,68
1349,Emilia Müller,1951,CSU,Bayern,female,69
1350,Georg Pazderski,1951,AFD,Berlin,male,69
1351,Johanna Wanka,1951,CDU,Brandenburg,female,69
1352,Rainer Robra,1951,CDU,Sachsen-Anhalt,male,69
1353,Volker Bouffier,1951,CDU,Hessen,male,69
1355,Peter Hintze,1950,CDU,Nordrhein-Westfalen,male,70
1357,Erwin Sellering,1949,SPD,Mecklenburg-Vorpommern,male,71
1359,Horst Seehofer,1949,CSU,Bayern,male,71
1360,Peter Gauweiler,1949,CSU,Bayern,male,71
1361,Jens Böhrnsen,1949,SPD,Bremen,male,71
1362,Winfried Kretschmann,1948,GRÜNE,Baden-Württemberg,male,72
1363,Anke Spoorendonk,1947,SSW,Schleswig-Holstein,female,73
1365,Wolfgang Gerhardt,1943,FDP,Hessen,male,77
1367,Albrecht Glaser,1942,AFD,Hessen,male,78
1368,Alexander Gauland,1941,AFD,Brandenburg,male,79
1369,Hermann Otto Solms,1940,FDP,Hessen,male,80
1370,Joachim Gauck,1940,Parteilos,Berlin,male,80
1372,Jörg Bretschneider ,  ,  ,  ,,
1373,hochschulpolitik ,  ,  , Baden-Württemberg ,,
1374,kinderarmut ,  ,  ,  ,,
1375,Tobias Hammerl ,  ,  ,  ,,
1376,Robert Teske ,  ,  ,  ,,
1377,Urban Aykal ,  ,  ,  ,,
1378,Jürgen Wächter ,  ,  ,  ,,
1379,Daniel Schneider ,  ,  ,  ,,
1381,bundesregierung ,  ,  ,  ,,
1382,Iris Bachmann ,  ,  ,  ,,
1384,Gabriele Ungers ,  ,  ,  ,,
1385,Patric Wolf ,  ,  ,  ,,
1386,Moritz Pöllath ,  ,  ,  ,,
1389,forsa umfrage ,  ,  ,  ,,
1390,Gudrun Schumann ,  ,  ,  ,,
1391,Sarah Rambatz ,  ,  ,  ,,
1392,mindestlohn ,  ,  , Niedersachsen ,,
1394,Britta Walthelm ,  ,  ,  ,,
1396,Roland Sperling ,  ,  ,  ,,
1398,Robert Schmidt ,  ,  , Hamburg ,,
1399,Christoph Hoffmann ,  ,  ,  ,,
1400,Martina Reuter ,  ,  ,  ,,
1401,elterngeld ,  ,  , Berlin ,,
1402,Lothar Schuchmann ,  ,  ,  ,,
1403,Martin Hess ,  ,  ,  ,,
1404,Claus Homm ,  ,  ,  ,,
1405,Benjamin Tschesnok ,  ,  ,  ,,
1407,Ralf Wiegelmann ,  ,  ,  ,,
1408,Kevin Barth ,  ,  ,  ,,
1409,David Ittekkot ,  ,  ,  ,,
1412,Meryem Celikkol ,  ,  ,  ,,
1414,Georg Rust ,  ,  ,  ,,
1415,Monika Göpper ,  ,  ,  ,,
1416,betreuungsgeld ,  ,  , Bayern ,,
1418,Olesja Rudi ,  ,  ,  ,,
1419,Antje Möller-Neustock ,  ,  ,  ,,
1420,Olaf Müller ,  ,  ,  ,,
1421,Jonas Geissler ,  ,  ,  ,,
1422,bundespräsident ,  ,  ,  ,,
1423,Esther Kalveram ,  ,  ,  ,,
1426,Wolfgang Dörner ,  ,  ,  ,,
1427,Petra Ackmann ,  ,  ,  ,,
1428,Jürgen Abelmann ,  ,  ,  ,,
1429,fachkräftemangel ,  ,  , Niedersachsen ,,
1430,landtagswahl ,  ,  , Hessen ,,
1431,Jasmin Runge ,  ,  ,  ,,
1432,Albert Riedelsheimer ,  ,  ,  ,,
1433,Markus Bergforth ,  ,  ,  ,,
1434,Friederike Benda ,  ,  ,  ,,
1435,Sven Lehmann ,  ,  ,  ,,
1436,Martin Neumann ,  ,  ,  ,,
1437,Martin Klein ,  ,  ,  ,,
1438,Hannah Bruns ,  ,  ,  ,,
1439,Jens Niklaus ,  ,  ,  ,,
1441,Annika Neumeister ,  ,  ,  ,,
1443,Kai Mader ,  ,  ,  ,,
1444,Sonja Hillen ,  ,  ,  ,,
1445,groehe ,  ,  ,  ,,
1446,Florian Betz ,  ,  ,  ,,
1447,Guido Dietel ,  ,  ,  ,,
1450,Jessica Purkhardt ,  ,  ,  ,,
1451,ampelkoalition ,  ,  , Hessen ,,
1452,Anton Salzbrunn ,  ,  ,  ,,
1453,Uwe Hofmann ,  ,  ,  ,,
1454,Klaus Schrader ,  ,  ,  ,,
1455,bundesrat ,  ,  ,  ,,
1456,David Klanke ,  ,  ,  ,,
1457,Ekkehard Darge ,  ,  ,  ,,
1458,Uwe Zobel ,  ,  ,  ,,
1459,Moritz Müller ,  ,  ,  ,,
1460,jugendarbeitslosigkeit ,  ,  , Berlin ,,
1462,Franziska Kersten ,  ,  ,  ,,
1463,Aida Hodzic ,  ,  ,  ,,
1465,Birgit Kaufhold ,  ,  ,  ,,
1468,Kai Müller ,  ,  ,  ,,
1469,Stephanie Reinhold ,  ,  ,  ,,
1470,Vera Huber ,  ,  ,  ,,
1471,Patrick Berberich ,  ,  ,  ,,
1472,Laura Sophie Dornheim ,  ,  ,  ,,
1474,Joachim vom Berg ,  ,  ,  ,,
1475,Lisa Anschütz ,  ,  ,  ,,
1476,Arno Treiber ,  ,  ,  ,,
1477,Jens Dietzmann ,  ,  ,  ,,
1478,Andreas Fuchs ,  ,  ,  ,,
1479,Florian Kußmann ,  ,  ,  ,,
1480,Jan Siegemund ,  ,  ,  ,,
1481,wagenknecht ,  ,  ,  ,,
1483,Dominik Martin ,  ,  ,  ,,
1484,Linn Kuppitz ,  ,  ,  ,,
1485,Torsten Ludwig ,  ,  ,  ,,
1486,Hans Schwanitz ,  ,  ,  ,,
1489,Armin Wolf ,  ,  ,  ,,
1490,Marc Scheffler ,  ,  ,  ,,
1491,stephan weil ,  ,  ,  ,,
1492,Sarina Kolb ,  ,  ,  ,,
1493,Heino Baumgarten ,  ,  ,  ,,
1494,Philipp Thalmann ,  ,  ,  ,,
1495,linksjugend ,  ,  , Bayern ,,
1496,Ramona Seeger ,  ,  ,  ,,
1497,Renate Schiefer ,  ,  ,  ,,
1498,Hildegard Gries ,  ,  ,  ,,
1499,Diana Tietze ,  ,  ,  ,,
1500,Johannes Engel ,  ,  ,  ,,
1501,sozialpolitik ,  ,  , Berlin ,,
1502,Vera Kosova ,  ,  ,  ,,
1504,btw17 ,  ,  ,  ,,
1505,Gereon Bollmann ,  ,  ,  ,,
1506,Konrad Kelm ,  ,  ,  ,,
1507,Sabine Ehrke ,  ,  ,  ,,
1509,Gerhard Großkurth ,  ,  ,  ,,
1510,Adrian Hurrle ,  ,  ,  ,,
1511,Martin Kretschmer ,  ,  ,  ,,
1512,Thies Petersen ,  ,  ,  ,,
1513,Gernod Röken ,  ,  ,  ,,
1514,Lars Legath ,  ,  ,  ,,
1515,Nicole Jordan ,  ,  ,  ,,
1516,Thomas Neudert ,  ,  ,  ,,
1520,Silvia Lehmann ,  ,  ,  ,,
1521,Samantha Westphal ,  ,  ,  ,,
1522,arbeitsmarktpolitik ,  ,  , Hamburg ,,
1523,datenschutz ,  ,  , Hessen ,,
1525,Jasmina Hostert ,  ,  ,  ,,
1526,Guido Niermann ,  ,  ,  ,,
1527,Tuna Firat ,  ,  ,  ,,
1529,Annette Schütz ,  ,  ,  ,,
1530,Manuel Hummel ,  ,  ,  ,,
1531,Sascha Zimmermann ,  ,  ,  ,,
1532,emnid ,  ,  , Bremen ,,
1533,Johanna Tiarks ,  ,  ,  ,,
1535,klimawandel ,  ,  , Berlin ,,
1536,berengar elsner von gronow ,  ,  ,  ,,
1538,Petra Oberhäuser ,  ,  ,  ,,
1539,Beatrice Gebhardt ,  ,  ,  ,,
1540,Klaus Manal ,  ,  ,  ,,
1541,Sonja Gonschorek ,  ,  ,  ,,
1544,populismus ,  ,  , Berlin ,,
1545,Kristin Krumm ,  ,  ,  ,,
1546,direkte demokratie ,  ,  ,  ,,
1547,Tilo Kießling ,  ,  ,  ,,
1548,grünejugend ,  ,  ,  ,,
1549,Ferdinand Niemann ,  ,  ,  ,,
1550,Andreas Resch ,  ,  ,  ,,
1555,Andreas Reuter ,  ,  ,  ,,
1556,Bernd Wegner ,  ,  ,  ,,
1557,David Sperl ,  ,  ,  ,,
1558,Holger Teuteberg ,  ,  ,  ,,
1559,Daniel Fahr ,  ,  ,  ,,
1560,Katharina Schreiner ,  ,  ,  ,,
1561,winfried bausback ,  ,  ,  ,,
1562,Kathleen Krause ,  ,  ,  ,,
1563,Regina Vischer ,  ,  ,  ,,
1564,Rainer Schwanebeck ,  ,  ,  ,,
1565,Sandra Peschke ,  ,  ,  ,,
1566,Steffen John ,  ,  ,  ,,
1567,Veith Lemmen ,  ,  ,  ,,
1568,Paul Stern ,  ,  ,  ,,
1569,Roland König ,  ,  ,  ,,
1570,Max Schmachtenberg ,  ,  ,  ,,
1571,Markus Mohr ,  ,  ,  ,,
1572,Ronald Bischoff ,  ,  ,  ,,
1574,Konrad Reichert ,  ,  ,  ,,
1575,Carsten Seelmeyer ,  ,  ,  ,,
1577,Matthias Körner ,  ,  ,  ,,
1578,Reimond Hoffmann ,  ,  ,  ,,
1579,Ulrich Lenz ,  ,  ,  ,,
1582,Claudia Ulrich ,  ,  ,  ,,
1583,bildungspolitik ,  ,  , Baden-Württemberg ,,
1584,Andrea Mähnert ,  ,  ,  ,,
1585,Christopher Prinz ,  ,  ,  ,,
1586,Sascha Kopp ,  ,  ,  ,,
1587,Dirk Kaps ,  ,  ,  ,,
1589,Nicole Langer ,  ,  ,  ,,
1590,Christina Wilhelm ,  ,  ,  ,,
1591,Katrin Treppschuh ,  ,  ,  ,,
1594,Marc Trester ,  ,  ,  ,,
1595,Frauke Martens ,  ,  ,  ,,
1597,Jürgen Sprick ,  ,  ,  ,,
1598,Danny Meiners ,  ,  ,  ,,
1599,Grit Michelmann ,  ,  ,  ,,
1600,Karl Martin Schröter ,  ,  ,  ,,
1601,Robert Hoffmanns ,  ,  ,  ,,
1603,Helge Ziegler ,  ,  ,  ,,
1604,Martin Seibert ,  ,  ,  ,,
1605,Jens Gräser ,  ,  ,  ,,
1606,André Walther ,  ,  ,  ,,
1607,von der leyen ,  ,  ,  ,,
1609,Manfred Scholl ,  ,  ,  ,,
1610,Jörg Sobolewski ,  ,  ,  ,,
1611,Lars Hermann ,  ,  ,  ,,
1612,Johannes Foitzik ,  ,  ,  ,,
1613,Andreas Hoffmann ,  ,  ,  ,,
1615,Sebastian Schäfer ,  ,  ,  ,,
1616,britta ernst ,  ,  ,  ,,
1617,Boris Burkert ,  ,  ,  ,,
1618,Alexandra Baur ,  ,  ,  ,,
1619,Marcus Stahl ,  ,  ,  ,,
1620,Julia Grammel ,  ,  ,  ,,
1621,wirtschaftskrise ,  ,  , Hamburg ,,
1622,Tassilo Richter ,  ,  ,  ,,
1623,Patrick Ginsbach ,  ,  ,  ,,
1624,piratenpartei ,  ,  , Saarland ,,
1626,einkommensschere ,  ,  , Berlin ,,
1627,Andreas Ewald ,  ,  ,  ,,
1628,Simon Rottloff ,  ,  ,  ,,
1629,Benno Pörtner ,  ,  ,  ,,
1630,Evelyn Nitsche ,  ,  ,  ,,
1631,Alexander Arpaschi ,  ,  ,  ,,
1632,Dierk Timm ,  ,  ,  ,,
1633,Tibor Brumme ,  ,  ,  ,,
1634,albert füracker ,  ,  ,  ,,
1635,herdprämie ,  ,  , Bayern ,,
1636,grosse koalition ,  ,  ,  ,,
1637,Wolfgang Renner ,  ,  ,  ,,
1638,schwampel ,  ,  , Saarland ,,
1639,Siegfried Mühlenweg ,  ,  ,  ,,
1640,katharina willkomm ,  ,  ,  ,,
1642,Stefan Thomae ,  ,  ,  ,,
1643,Niklas Haupt ,  ,  ,  ,,
1644,Ralf Kauer ,  ,  ,  ,,
1645,Stefanie Nejedlo ,  ,  ,  ,,
1646,Patrick Waldraff ,  ,  ,  ,,
1647,Hannes Draeger ,  ,  ,  ,,
1648,Werner Zieger ,  ,  ,  ,,
1649,Robert Malorny ,  ,  ,  ,,
1650,Walter Kubach ,  ,  ,  ,,
1651,koalition ,  ,  ,  ,,
1652,Robin Wagener ,  ,  ,  ,,
1653,Volker Körlin ,  ,  ,  ,,
1654,Michael Eckstein ,  ,  ,  ,,
1655,Michael Musil ,  ,  ,  ,,
1656,Cliff Gatzweiler ,  ,  ,  ,,
1658,Stefan Wolf ,  ,  ,  ,,
1659,Steffen Globig ,  ,  ,  ,,
1660,Thomas Deppe ,  ,  ,  ,,
1663,gorleben ,  ,  , Niedersachsen ,,
1667,Sebastian Wladarz ,  ,  ,  ,,
1670,Ralf Henze ,  ,  ,  ,,
1671,Ingo Stucke ,  ,  ,  ,,
1672,Mahmut Cinar ,  ,  ,  ,,
1673,Andreas Kubesch ,  ,  ,  ,,
1674,Kathrin Koch ,  ,  ,  ,female,
1675,Rebecca Hummel ,  ,  ,  ,,
1677,Henning Welslau ,  ,  ,  ,,
1678,Thomas Dahlmann ,  ,  ,  ,,
1679,Kerstin Schnapp ,  ,  ,  ,,
1680,Thomas Spilker ,  ,  ,  ,,
1681,Klemens Kowalski ,  ,  ,  ,,
1685,Maximilian Oppelt ,  ,  ,  ,,
1686,Bernd Wiegmann ,  ,  ,  ,,
1687,reinhold hilbers ,  ,  ,  ,,
1689,Markus Reichel ,  ,  ,  ,,
1690,Johannes Stracke ,  ,  ,  ,,
1691,Marcus Dörr ,  ,  ,  ,,
1692,wahlsystem ,  ,  ,  ,,
1693,Judith Benda ,  ,  ,  ,,
1695,Markus Franz ,  ,  ,  ,,
1698,Raik Dreher ,  ,  ,  ,,
1701,Matthias Schlegel ,  ,  ,  ,,
1702,Jürgen Martens ,  ,  , Sachsen ,,
1703,Ilona Koch ,  ,  ,  ,,
1704,Karin Seyfert ,  ,  ,  ,,
1705,Pascale Peukert ,  ,  ,  ,,
1706,Peter Wittenhorst ,  ,  ,  ,,
1707,Adrian Scheffels ,  ,  ,  ,,
1708,Josef Kuhlmann ,  ,  ,  ,,
1709,Xaver Merk ,  ,  ,  ,,
1711,Simon Rock ,  ,  ,  ,,
1714,Katrin Petersen ,  ,  ,  ,,
1715,Klaus Eickmeyer ,  ,  ,  ,,
1716,Michael Droste ,  ,  ,  ,,
1717,Lucas Schwalbach ,  ,  ,  ,,
1719,kulturpolitik ,  ,  , Thüringen ,,
1720,Andreas Hundertmark ,  ,  ,  ,,
1721,Christel Sprößler ,  ,  ,  ,,
1722,Holger Onken ,  ,  ,  ,,
1723,Ralf Poppe ,  ,  ,  ,,
1724,Walter Kappmeier ,  ,  ,  ,,
1725,Titus Schüller ,  ,  ,  ,,
1726,Simone Tatjana Stehr ,  ,  ,  ,,
1727,politbarometer ,  ,  ,  ,,
1728,Martin Hoffmann ,  ,  ,  ,,
1730,Mirko Wolff ,  ,  ,  ,,
1731,Edeltraud Schwarz ,  ,  ,  ,,
1735,Eva Maria Linsenbreder ,  ,  ,  ,,
1736,Klaus-Peter Wennemann ,  ,  ,  ,,
1737,Dirk Presch ,  ,  ,  ,,
1738,Annika Urbanski ,  ,  ,  ,,
1739,Heike Schaumann ,  ,  ,  ,,
1741,Jonas Hoffmann ,  ,  ,  ,,
1742,Dennis Falterbaum ,  ,  ,  ,,
1743,Stefanie Weigand ,  ,  ,  ,,
1744,Magnus Welsch ,  ,  ,  ,,
